directorId,userId,rating,timestamp,label,birthDate,directorJobTitle1,directorJobTitle2,directorJobTitle3,directorRatingCount,directorAvgRating,directorRatingStddev,userRatedDirector1,userRatedDirector2,userRatedDirector3,userRatedDirector4,userRatedDirector5,userRatingCount,userAvgBirthDate,userBirthDateStddev,userAvgRating,userRatingStddev,userJobTitle1,userJobTitle2,userJobTitle3,userJobTitle4,userJobTitle5
0,23033,2.0,836779166,0,1946-07-29,Director,Writer,Editor,154,2.47,1.09,450,119,540,691,600,100,,,3.11,0.74,Producer,Director,Writer,Actor,Additional Crew
0,7590,1.0,975563318,0,1946-07-29,Director,Writer,Editor,154,2.47,1.09,204,12,438,489,336,100,,,3.13,1.10,Producer,Writer,Director,Actor,Stunts
0,7713,4.0,831995695,1,1946-07-29,Director,Writer,Editor,154,2.47,1.09,246,496,523,296,525,85,,,3.59,0.94,Producer,Director,Writer,Actor,Additional Crew
10,10557,4.5,1056932586,1,,,,,2122,2.79,1.09,140,97,238,438,496,28,,,3.48,0.93,Director,Writer,Producer,Actor,Cinematographer
10,11566,3.0,1021656232,0,,,,,2122,2.79,1.09,181,223,214,612,103,32,,,3.75,0.98,Producer,Director,Writer,Actor,Cinematographer
10,1232,1.0,940432609,0,,,,,2122,2.79,1.09,4,223,625,496,523,16,,,2.75,1.53,Writer,Director,Producer,Actor,
10,13512,4.0,900460567,1,,,,,2122,2.79,1.09,159,85,671,609,473,66,,,3.97,0.93,Writer,Director,Producer,Actor,Animation Department
10,14014,3.0,1010474012,0,,,,,2122,2.79,1.09,41,250,444,149,246,26,,,4.27,0.96,Producer,Writer,Director,Cinematographer,Camera and Electrical Department
10,15302,1.0,885138661,0,,,,,2122,2.79,1.09,598,223,624,496,523,22,,,2.73,1.24,Producer,Director,Writer,Cinematographer,Camera and Electrical Department
10,16141,2.0,956603468,0,,,,,2122,2.79,1.09,181,197,181,4,150,26,,,2.50,1.33,Writer,Director,Producer,Actor,
10,16465,2.0,898118534,0,,,,,2122,2.79,1.09,336,214,153,438,338,48,,,2.69,1.07,Producer,Director,Writer,Actor,Additional Crew
10,1663,3.0,1260303090,0,,,,,2122,2.79,1.09,234,391,,,,3,,,3.00,0.87,Director,Producer,Editor,,
10,17196,3.0,852537728,0,,,,,2122,2.79,1.09,438,614,158,181,404,100,,,3.88,0.99,Director,Producer,Writer,Actor,Cinematographer
10,18893,2.0,853864340,0,,,,,2122,2.79,1.09,612,203,74,369,691,100,,,3.07,0.97,Producer,Director,Writer,Actor,Second Unit Director or Assistant Director
10,18949,3.0,987100681,0,,,,,2122,2.79,1.09,518,246,45,659,103,100,,,3.36,0.97,Director,Producer,Writer,Actor,Cinematographer
10,19074,1.0,994349309,0,,,,,2122,2.79,1.09,181,278,150,598,679,60,,,3.92,0.59,Director,Writer,Producer,Actor,Animation Department
10,21664,3.0,965264377,0,,,,,2122,2.79,1.09,115,181,625,220,186,100,,,3.27,0.91,Director,Producer,Writer,Actor,Additional Crew
10,21886,1.0,965060016,0,,,,,2122,2.79,1.09,349,581,252,625,4,33,,,4.12,1.11,Director,Writer,Producer,Actor,Additional Crew
10,22314,3.0,857458051,0,,,,,2122,2.79,1.09,318,246,,,,13,,,3.08,0.49,Director,Producer,Writer,,
10,23009,2.5,1123006309,0,,,,,2122,2.79,1.09,625,276,103,318,223,78,,,3.35,0.66,Director,Writer,Producer,Animation Department,Actor
10,24636,5.0,946769390,1,,,,,2122,2.79,1.09,250,615,518,534,349,100,,,2.81,1.48,Writer,Producer,Director,Actor,Additional Crew
10,251,3.0,965285110,0,,,,,2122,2.79,1.09,115,581,473,58,678,100,,,3.79,1.06,Director,Producer,Writer,Actor,Cinematographer
10,26399,3.0,853894189,0,,,,,2122,2.79,1.09,223,336,404,561,61,41,,,3.20,0.95,Producer,Writer,Director,Additional Crew,Cinematographer
10,26863,3.5,1165175219,1,,,,,2122,2.79,1.09,198,610,293,234,223,100,,,3.72,0.73,Director,Producer,Writer,Actor,Additional Crew
10,27749,4.0,1000811934,1,,,,,2122,2.79,1.09,401,659,264,159,534,100,,,3.87,1.03,Director,Producer,Writer,Actor,Additional Crew
10,28314,1.0,892542767,0,,,,,2122,2.79,1.09,269,457,349,8,206,100,,,3.06,1.04,Director,Writer,Producer,Actor,Cinematographer
10,28512,4.0,944346808,1,,,,,2122,2.79,1.09,184,234,526,489,146,55,,,3.58,0.76,Director,Writer,Producer,Actor,Executive
